ts_code,trade_date,update_time,price,open,high,low,close,pre_close,pct_chg,vol,amount,realtime_source
300489.SZ,20260812,2026-08-12 15:00:00,248.0,225.19,256.18,220.14,248.0,222.0,11.711711711711704,17502836.0,4164548837.0,stk_mins
688182.SH,20260812,2026-08-12 15:00:00,29.1,26.0,29.66,26.0,29.1,26.06,11.665387567152742,11708231.0,333627389.0,stk_mins
688685.SH,20260812,2026-08-12 15:00:00,46.21,41.4,47.66,41.12,46.21,41.4,11.618357487922705,9391593.0,427961427.0,stk_mins
301282.SZ,20260812,2026-08-12 15:00:00,26.45,23.89,27.6,23.88,26.45,23.8,11.134453781512587,20052713.0,520261583.68,stk_mins
301486.SZ,20260812,2026-08-12 15:00:00,170.04,153.66,183.73,151.1,170.04,153.11,11.057409705440513,13771181.0,2359049201.0,stk_mins
300795.SZ,20260812,2026-08-12 15:00:00,16.87,15.11,17.53,14.93,16.87,15.2,10.986842105263172,52021213.0,847657203.75,stk_mins
688392.SH,20260812,2026-08-12 15:00:00,165.0,150.19,168.0,144.01,165.0,149.09,10.671406532966653,9072050.0,1438810920.0,stk_mins
002146.SZ,20260812,2026-08-12 15:00:00,1.27,1.15,1.27,1.14,1.27,1.15,10.43478260869566,401565231.0,493880800.0,stk_mins
920273.BJ,20260812,2026-08-12 15:00:00,18.84,16.93,19.66,16.92,18.84,17.09,10.239906377998832,4918406.0,89248981.1,stk_mins
002047.SZ,20260812,2026-08-12 15:00:00,3.92,3.83,3.92,3.66,3.92,3.56,10.1123595505618,38346976.0,146427563.25,stk_mins
002005.SZ,20260812,2026-08-12 15:00:00,2.51,2.26,2.51,2.26,2.51,2.28,10.087719298245613,34949500.0,85493485.0,stk_mins
000720.SZ,20260812,2026-08-12 15:00:00,4.04,3.63,4.04,3.63,4.04,3.67,10.081743869209813,133170640.0,520377635.5,stk_mins
002081.SZ,20260812,2026-08-12 15:00:00,4.37,3.99,4.37,3.98,4.37,3.97,10.075566750629728,66307934.0,283909131.74,stk_mins
000802.SZ,20260812,2026-08-12 15:00:00,5.69,5.69,5.69,5.56,5.69,5.17,10.058027079303677,116497219.0,662665213.4,stk_mins
002244.SZ,20260812,2026-08-12 15:00:00,9.53,8.69,9.53,8.69,9.53,8.66,10.046189376443415,59415707.0,540867803.8,stk_mins
001313.SZ,20260812,2026-08-12 15:00:00,8.0,7.27,8.0,7.24,8.0,7.27,10.041265474552974,21180600.0,162637083.0,stk_mins
002248.SZ,20260812,2026-08-12 15:00:00,12.17,11.71,12.17,11.48,12.17,11.06,10.036166365280286,71441320.0,862786468.2,stk_mins
002357.SZ,20260812,2026-08-12 15:00:00,9.99,9.07,9.99,9.07,9.99,9.08,10.022026431718057,9405300.0,91864935.0,stk_mins
