ts_code,name,industry,trade_date,close,pct_chg,vol,turnover_rate,circ_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
002686.SZ,亿利达,通用设备,20260825,6.82,10.0,383040.95,7.3277,,1.67,,1.0,U,6.82,5.58,0.0,36685462.0,101939,101939,0.0,53.114754,53.114754,53.114754,0.669435,0.0,53.114754,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3629032258064515,0.5,0.5,0.0,missing_stock,ok,9,,A,0.4016393442622951,0.5081967213114754,0.5573770491803278,0.6885245901639344,0.5081967213114754,0.26229508196721313,0.7295081967213115,1.0
603079.SH,圣达生物,化学制品,20260825,13.89,9.9762,158859.62,8.404,,0.74,,1.0,U,13.89,11.37,0.0,93712357.0,94229,94229,0.0,52.868852,52.868852,52.868852,0.700315,0.0,52.868852,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5687648456057006,0.5,0.5,0.0,missing_stock,ok,9,,A,0.11475409836065574,0.5081967213114754,0.7049180327868853,0.13934426229508196,0.5081967213114754,0.7377049180327869,0.7295081967213115,1.0
600605.SH,汇通能源,一般零售,20260825,26.58,10.0166,80360.99,3.8957,,2.99,,1.0,U,26.58,21.74,0.0,9544878.0,144153,144153,0.0,52.770492,52.770492,52.770492,0.695911,0.0,52.770492,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.539403973509934,0.5,0.5,0.0,missing_stock,ok,9,,A,0.6557377049180327,0.5081967213114754,0.32786885245901637,0.9344262295081968,0.5081967213114754,0.06557377049180328,0.7295081967213115,1.0
002703.SZ,浙江世宝,汽车零部件,20260825,15.87,9.9792,755366.72,12.8892,,1.65,80055329.32,1.0,U,15.87,12.99,5.0,62815586.0,95806,102206,5.0,52.377049,52.377049,52.377049,0.661918,0.0,52.377049,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.31278586278586246,0.5,0.5,0.0,missing_stock,ok,9,,A,0.14754098360655737,0.5081967213114754,0.8524590163934426,0.6639344262295082,0.5081967213114754,0.45901639344262296,0.05737704918032792,1.0
002949.SZ,华阳国际,工程咨询,20260825,12.44,9.9912,216342.55,14.24,,4.46,,1.0,U,12.44,10.18,10.0,7777488.0,93315,111933,10.0,51.967213,51.967213,51.967213,0.681704,0.0,51.967213,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.4446949602122015,0.5,0.5,0.0,missing_stock,ok,9,,A,0.26229508196721313,0.5081967213114754,0.9180327868852459,0.9836065573770492,0.5081967213114754,0.03278688524590164,0.01639344262295082,1.0
600508.SH,上海能源,煤炭开采,20260825,10.87,10.0202,390858.4,3.863,,2.44,-29369720.92,1.0,U,10.87,8.89,1.0,33752002.0,93029,102544,1.0,51.918033,51.918033,51.918033,0.745354,0.0,51.918033,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.8690283400809719,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7049180327868853,0.5081967213114754,0.29508196721311475,0.8688524590163934,0.5081967213114754,0.19672131147540983,0.319672131147541,1.0
600281.SH,华阳新材,小金属,20260825,5.05,10.0218,320462.15,6.2298,,0.74,,1.0,U,5.05,4.13,2.0,49350039.0,93946,101143,2.0,51.344262,51.344262,51.344262,0.684461,0.0,51.344262,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.4630718954248361,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7377049180327869,0.5081967213114754,0.45901639344262296,0.13934426229508196,0.5081967213114754,0.39344262295081966,0.1475409836065574,1.0
600838.SH,上海九百,一般零售,20260825,8.02,10.0137,139673.68,3.4842,,1.78,,1.0,U,8.02,6.56,1.0,44266646.0,93650,93708,1.0,50.901639,50.901639,50.901639,0.6825,0.0,50.901639,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.45,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5901639344262295,0.5081967213114754,0.26229508196721313,0.7868852459016393,0.5081967213114754,0.36065573770491804,0.319672131147541,1.0
603095.SH,越剑智能,专用设备,20260825,16.4,9.9933,182090.62,7.0504,,1.34,,1.0,U,16.4,13.42,1.0,71651600.0,94037,100352,1.0,50.737705,50.737705,50.737705,0.666202,0.0,50.737705,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.34134808853118703,0.5,0.5,0.0,missing_stock,ok,9,,A,0.3114754098360656,0.5081967213114754,0.5245901639344263,0.5163934426229508,0.5081967213114754,0.5245901639344263,0.319672131147541,1.0
002713.SZ,东易日盛,装修装饰,20260825,9.96,10.0552,157511.38,2.9917,,1.07,,1.0,U,9.96,8.15,1.0,38510340.0,101124,101136,1.0,50.311475,50.311475,50.311475,0.672555,0.0,50.311475,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3837016574585624,0.5,0.5,0.0,missing_stock,ok,9,,A,0.8852459016393442,0.5081967213114754,0.19672131147540983,0.3114754098360656,0.5081967213114754,0.29508196721311475,0.319672131147541,1.0
000796.SZ,凯撒旅业,旅游及景,20260825,4.18,10.0,405819.76,3.0495,,1.47,,1.0,U,4.18,3.42,1.0,42638090.0,09:33:00,15:00:00,1.0,45.016393,45.016393,45.016393,0.713634,5.269401,50.285794,1,ok,,20260825,intraday_refine_v2,000796.SZ,1,0.6911,0.115933,0,0.11593300000000002,0.0,0.42033499999999996,0.0,0.0,0.48157894736842116,0.5,0.7,1.0,ok,ok,9,,A,0.4016393442622951,0.5081967213114754,0.22950819672131148,0.6065573770491803,0.5081967213114754,0.32786885245901637,0.319672131147541,1.0
003021.SZ,兆威机电,电机Ⅱ,20260825,72.78,10.006,59805.64,2.8845,,1.23,,1.0,U,72.78,59.54,0.0,76038797.0,131936,131936,0.0,50.147541,50.147541,50.147541,0.674882,0.0,50.147541,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.39921402660217603,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5081967213114754,0.5081967213114754,0.18032786885245902,0.4098360655737705,0.5081967213114754,0.5573770491803278,0.7295081967213115,1.0
605303.SH,园林股份,基础建设,20260825,22.85,10.0144,36822.0,2.2837,,1.53,,1.0,U,22.85,18.69,2.0,76101925.0,93212,93512,2.0,49.770492,49.770492,49.770492,0.704599,0.0,49.770492,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.597327876745306,0.5,0.5,0.0,missing_stock,ok,9,,A,0.6065573770491803,0.5081967213114754,0.14754098360655737,0.6229508196721312,0.5081967213114754,0.5737704918032787,0.1475409836065574,1.0
603217.SH,元利科技,化学制品,20260825,28.39,9.9961,64368.63,3.0933,,1.3,,1.0,U,28.39,23.23,0.0,84549309.0,133652,133652,0.0,49.459016,49.459016,49.459016,0.6825,0.0,49.459016,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.45,0.5,0.5,0.0,missing_stock,ok,9,,A,0.32786885245901637,0.5081967213114754,0.2459016393442623,0.4672131147540984,0.5081967213114754,0.6229508196721312,0.7295081967213115,1.0
600829.SH,人民同泰,医药商业,20260825,10.14,9.9783,425536.64,7.3382,,0.95,,1.0,U,10.14,8.3,1.0,108536146.0,105903,130618,1.0,49.295082,49.295082,49.295082,0.680548,0.0,49.295082,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.4369848156182201,0.5,0.5,0.0,missing_stock,ok,9,,A,0.13114754098360656,0.5081967213114754,0.5737704918032787,0.22950819672131148,0.5081967213114754,0.7540983606557377,0.319672131147541,1.0
002907.SZ,华森制药,中药Ⅱ,20260825,15.74,9.993,168265.0,4.9629,,0.49,,1.0,U,15.74,12.88,0.0,87843366.0,94906,94906,0.0,48.016393,48.016393,48.016393,0.668664,0.0,48.016393,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3577568134171903,0.5,0.5,0.0,missing_stock,ok,9,,A,0.2786885245901639,0.5081967213114754,0.36065573770491804,0.08196721311475409,0.5081967213114754,0.6557377049180327,0.7295081967213115,1.0
000428.SZ,华天酒店,酒店餐饮,20260825,4.32,9.9237,181287.51,1.7792,,0.57,,1.0,U,4.32,3.54,0.0,93092302.0,09:32:00,15:00:00,0.0,39.688525,39.688525,39.688525,0.753543,7.133155,46.82168,1,ok,,20260825,intraday_refine_v2,000428.SZ,1,0.7183329999999999,0.097778,0,0.097778,0.0,0.511111,0.0,0.0,0.5721374045801525,0.5,0.7,1.0,ok,ok,9,,A,0.01639344262295082,0.5081967213114754,0.11475409836065574,0.09836065573770492,0.5081967213114754,0.7049180327868853,0.7295081967213115,1.0
002259.SZ,升达林业,燃气Ⅱ,20260825,4.19,9.9738,285647.24,3.7968,,1.72,,1.0,U,4.19,3.43,0.0,26255378.0,13:47:00,15:00:00,0.0,40.540984,40.540984,40.540984,0.703804,5.967883,46.508867,1,ok,,20260825,intraday_refine_v2,002259.SZ,1,0.613132,0.092912,0,0.092912,0.0,0.535442,0.0,0.0,0.41850393700787386,0.5,0.45,1.0,ok,ok,9,,A,0.08196721311475409,0.5081967213114754,0.2786885245901639,0.7213114754098361,0.5081967213114754,0.11475409836065574,0.7295081967213115,1.0
603687.SH,大胜达,包装印刷,20260825,14.41,10.0,157799.75,2.8689,,1.13,,1.0,U,14.41,11.79,0.0,62349188.0,130115,130115,0.0,45.934426,45.934426,45.934426,0.670821,0.0,45.934426,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.37213740458015243,0.5,0.5,0.0,missing_stock,ok,9,,A,0.4016393442622951,0.5081967213114754,0.16393442622950818,0.36065573770491804,0.5081967213114754,0.4426229508196721,0.7295081967213115,1.0
002855.SZ,捷荣技术,消费电子,20260825,11.0,10.0,47638.89,1.9348,,1.76,,1.0,U,11.0,9.0,0.0,36550800.0,111406,111406,0.0,45.737705,45.737705,45.737705,0.6681,0.0,45.737705,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3539999999999999,0.5,0.5,0.0,missing_stock,ok,9,,A,0.4016393442622951,0.5081967213114754,0.13114754098360656,0.7540983606557377,0.5081967213114754,0.2459016393442623,0.7295081967213115,1.0
600127.SH,金健米业,农产品加,20260825,9.31,10.0473,2962935.21,46.1672,,1.64,103631801.02,1.0,U,9.31,7.61,7.0,28919857.0,93154,145503,7.0,45.540984,45.540984,45.540984,0.6825,0.0,45.540984,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.45,0.5,0.5,0.0,missing_stock,ok,9,,A,0.8524590163934426,0.5081967213114754,0.01639344262295082,0.639344262295082,0.5081967213114754,0.16393442622950818,0.03278688524590166,1.0
