rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
38,605577.SH,龙版传媒,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.740957,0.0,0,0.0,0.0,0.5,0.0,0.8397106109324757,0.0,中,分时缺失|低置信,0.2611011561204608,0.0,0.0,0.0,0.0,0.24387615612046082
39,603119.SH,浙江荣泰,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.690935,0.0,0,0.0,0.0,0.5,0.0,0.5062300319488816,0.0,中,分时缺失|低置信,0.2790365569780432,0.0,0.0,0.0,0.0,0.2551115569780432
40,002463.SZ,沪电股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.699531,0.0,0,0.0,0.0,0.5,0.0,0.5635426008968609,0.0,中,分时缺失|低置信,0.3059506522404739,0.0,0.0,0.0,0.0,0.28202565224047393
41,603626.SH,科森科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.701072,0.0,0,0.0,0.0,0.5,0.0,0.5738148354712778,0.0,中,分时缺失|低置信,0.22213769604514047,0.0,0.0,0.0,0.0,0.19821269604514047
42,002515.SZ,金字火腿,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.684926,0.0,0,0.0,0.0,0.5,0.0,0.46617250673854543,0.0,中,分时缺失|低置信,0.23944619610466114,0.0,0.0,0.0,0.0,0.21552119610466114
43,603228.SH,景旺电子,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.707163,0.0,0,0.0,0.0,0.5,0.0,0.6144176873572768,0.0,中,分时缺失|低置信,0.29862997178859135,0.0,0.0,0.0,0.0,0.2747049717885914
44,002957.SZ,科瑞技术,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.703548,0.0,0,0.0,0.0,0.5,0.0,0.5903225806451602,0.0,中,分时缺失|低置信,0.2354058247401193,0.0,0.0,0.0,0.0,0.2114808247401193
45,002403.SZ,爱仕达,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.763883,0.0,0,0.0,0.0,0.5,0.0,0.9925531914893619,0.0,中,分时缺失|低置信,0.2825811197088279,0.0,0.0,0.0,0.0,0.2925811197088279
46,002881.SZ,美格智能,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.27233815811991596,0.0,0.0,0.0,0.0,0.24841315811991596
47,001267.SZ,汇绿生态,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.695543,0.0,0,0.0,0.0,0.5,0.0,0.5369565217391308,0.0,中,分时缺失|低置信,0.3013169129052139,0.0,0.0,0.0,0.0,0.2773919129052139
48,603009.SH,北特科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.675025,0.0,0,0.0,0.0,0.5,0.0,0.40016561403201867,0.0,中,分时缺失|低置信,0.2813688678712999,0.0,0.0,0.0,0.0,0.2574438678712999
49,603696.SH,安记食品,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.742579,0.0,0,0.0,0.0,0.5,0.0,0.8505287508261736,0.0,中,分时缺失|低置信,0.21865286933821373,0.0,0.0,0.0,0.0,0.20982786933821373
50,600770.SH,综艺股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6825,0.0,0,0.0,0.0,0.5,0.0,0.45,0.0,中,分时缺失|低置信,0.25486301496182334,0.0,0.0,0.0,0.0,0.23093801496182334
51,603286.SH,日盈电子,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.698389,0.0,0,0.0,0.0,0.5,0.0,0.555923344947736,0.0,中,分时缺失|低置信,0.28110480832857454,0.0,0.0,0.0,0.0,0.25717980832857457
52,002484.SZ,江海股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.728523,0.0,0,0.0,0.0,0.5,0.0,0.7568181818181826,0.0,中,分时缺失|低置信,0.29493129976873816,0.0,0.0,0.0,0.0,0.2710062997687382
53,600857.SH,宁波中百,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.685532,0.0,0,0.0,0.0,0.5,0.0,0.470211742059673,0.0,中,分时缺失|低置信,0.2724945997752326,0.0,0.0,0.0,0.0,0.2485695997752326
54,601595.SH,上海电影,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6849,0.0,0,0.0,0.0,0.5,0.0,0.4659999999999996,0.0,中,分时缺失|低置信,0.23322996721070421,0.0,0.0,0.0,0.0,0.2093049672107042
55,001229.SZ,魅视科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.682245,0.0,0,0.0,0.0,0.5,0.0,0.4483026874115988,0.0,中,分时缺失|低置信,0.246293721533366,0.0,0.0,0.0,0.0,0.222368721533366
56,603083.SH,剑桥科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2929970152778549,0.0,0.0,0.0,0.0,0.2690720152778549
57,603999.SH,读者传媒,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.675037,0.0,0,0.0,0.0,0.5,0.0,0.4002487562189057,0.0,中,分时缺失|低置信,0.23069063454165936,0.0,0.0,0.0,0.0,0.20676563454165936
58,603668.SH,天马科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.690798,0.0,0,0.0,0.0,0.5,0.0,0.5053227158424136,0.0,中,分时缺失|低置信,0.20256049738364112,0.0,0.0,0.0,0.0,0.17863549738364112
59,002138.SZ,顺络电子,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.690592,0.0,0,0.0,0.0,0.5,0.0,0.5039447066756576,0.0,中,分时缺失|低置信,0.29063509411091903,0.0,0.0,0.0,0.0,0.26671009411091906
60,605488.SH,福莱新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.685476,0.0,0,0.0,0.0,0.5,0.0,0.4698383541513593,0.0,中,分时缺失|低置信,0.20487099222159186,0.0,0.0,0.0,0.0,0.18094599222159186
61,002011.SZ,盾安环境,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.694942,0.0,0,0.0,0.0,0.5,0.0,0.5329493087557607,0.0,中,分时缺失|低置信,0.24738965984711375,0.0,0.0,0.0,0.0,0.22346465984711375
62,605168.SH,三人行,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.689855,0.0,0,0.0,0.0,0.5,0.0,0.4990360435875945,0.0,中,分时缺失|低置信,0.21592869227846576,0.0,0.0,0.0,0.0,0.19200369227846575
63,000428.SZ,华天酒店,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.709366,0.0,0,0.0,0.0,0.5,0.0,0.6291044776119395,0.0,中,分时缺失|低置信,0.24728006843397718,0.0,0.0,0.0,0.0,0.23845506843397718
64,002290.SZ,禾盛新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.684537,0.0,0,0.0,0.0,0.5,0.0,0.4635790494665371,0.0,中,分时缺失|低置信,0.22205225190887026,0.0,0.0,0.0,0.0,0.19812725190887026
65,000816.SZ,智慧农业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6825,0.0,0,0.0,0.0,0.5,0.0,0.45,0.0,中,分时缺失|低置信,0.28572888379248906,0.0,0.0,0.0,0.0,0.2618038837924891
