ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
600592.SH,龙溪股份,通用设备,通用设备,1→2,1.0,1→2,20260703,U,16.12,16.12,13.19,2,52561339.0,131816,132525,1/1,5.64,352708384.0,6440803564.52,6440803516.16,52561339.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,13:19:00,15:00:00,2,1.0,0.6824,1,4.0,90.0,80.4057,0.010935,0.0,31,0.0,53.0,1.0,1.0,neutral_limitup,1.0,600592.SH,0,72.9717,0,17.25,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260703,intraday_refine_v2,600592.SH,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600769.SH,祥龙电业,环境治理,环境治理,1→2,1.0,1→2,20260703,U,21.78,21.78,17.82,2,48876476.0,111707,112343,1/1,7.85,606860528.0,8167003416.0,8167003416.0,48876476.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,11:18:00,15:00:00,3,0.0,1.1019,0,,0.0,58.3884,0.006482,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,600769.SH,0,62.7665,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600769.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600793.SH,宜宾纸业,造纸,造纸,3→4,3.0,3→4,20260703,U,16.01,16.01,13.1,0,64760770.0,93001,93001,3/3,2.07,58544751.0,2832233072.02,2832233072.02,64760770.0,1.1,0.0,0.43,limit_list_d,20260703,1min,241,1,09:30:00,15:00:00,1,0.0,0.0625,0,,0.0,64.6252,0.017146,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,600793.SH,0,75.8876,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600793.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600801.SH,华新建材,水泥,水泥,1→2,1.0,1→2,20260703,U,18.11,18.11,14.81,0,31333922.0,94622,94622,1/1,1.31,311811056.0,24298144423.39,37650611185.28,31333922.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:47:00,15:00:00,1,0.0,2.1535,0,,0.0,52.079,0.011011,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,600801.SH,0,72.1237,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600801.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600841.SH,动力新科,汽车零部件,汽车零部件,1→2,1.0,1→2,20260703,U,6.71,6.71,5.49,0,32990466.0,130242,130242,1/1,2.2,148319170.0,6998694287.64,9312284224.32,32990466.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,13:03:00,15:00:00,1,0.0,1.3413,0,,0.0,56.9523,0.031124,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,600841.SH,0,62.3357,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600841.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600988.SH,赤峰黄金,贵金属,贵金属,2→3,2.0,2→3,20260703,U,31.23,31.23,25.55,0,222358380.0,93137,93137,2/2,2.24,1152376464.0,51963952334.94,59349841276.32,222358380.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:32:00,15:00:00,1,0.0,0.7685,0,,0.0,60.389,0.01591,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,600988.SH,0,74.6167,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600988.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600990.SH,四创电子,军工电子,军工电子,1→2,1.0,1→2,20260703,U,19.13,19.13,15.65,0,60503904.0,142759,142759,1/1,2.94,145507068.0,5146212874.48,5185211904.64,60503904.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,14:28:00,15:00:00,1,0.0,1.6205,0,,0.0,55.2771,0.168852,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,600990.SH,0,61.8331,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600990.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
601069.SH,西部黄金,贵金属,贵金属,1→2,1.0,1→2,20260703,U,25.91,25.91,21.2,0,66560458.0,93515,93515,1/1,2.18,493491280.0,22987052558.13,23603987199.2,66560458.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:35:00,15:00:00,1,0.0,0.6175,0,,0.0,61.2949,0.028919,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,601069.SH,0,74.8885,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,601069.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
601100.SH,恒立液压,工程机械,工程机械,1→2,1.0,1→2,20260703,U,121.66,121.66,99.54,0,136170266.0,141835,141835,1/1,1.51,2374139760.0,163124281886.72,163124281886.72,136170266.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,14:19:00,15:00:00,1,0.0,0.3617,0,,0.0,62.83,0.027923,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,601100.SH,0,64.099,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,601100.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
601177.SH,杭齿前进,通用设备,通用设备,1→2,1.0,1→2,20260703,U,14.31,14.31,11.71,1,63308899.0,94339,94615,1/1,2.87,161851249.0,5758580115.0,5834380242.24,63308899.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:44:00,15:00:00,1,0.0,0.7687,0,,0.0,60.3878,0.011953,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,601177.SH,0,74.6164,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,601177.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
