ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
603082.SH,北自科技,运输设备,20260622,45.13,9.9927,269640.404,60139.79,14.8285,,747709.327,1.07,,1.0,U,45.13,36.93,3.0,26184877.0,93133,93521.0,3.0,62.557971,62.557971,62.557971,0.69,0.0,62.557971,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7572463768115942,0.8043478260869565,0.15217391304347827,0.572463768115942,0.5036231884057971,0.6884057971014492,0.6376811594202898,1.0
603380.SH,易德龙,元器件,20260622,45.13,9.9927,683010.956,154405.82,9.6238,,724071.1356,4.51,,1.0,U,45.13,36.93,5.0,0.0,93619,,5.0,62.101449,62.101449,62.101449,0.69,0.0,62.101449,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,8,,A,0.7572463768115942,0.6231884057971014,0.30434782608695654,0.028985507246376812,0.5036231884057971,0.9891304347826086,0.7318840579710145,1.0
603661.SH,恒林股份,家居用品,20260622,35.73,10.0062,270101.108,77182.63,5.55,,496886.391,1.34,,1.0,U,35.73,29.23,1.0,43590600.0,95036,101848.0,1.0,61.231884,61.231884,61.231884,0.69,0.0,61.231884,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.42028985507246375,0.7971014492753623,0.644927536231884,0.4166666666666667,0.5036231884057971,0.5797101449275363,0.43478260869565216,1.0
605069.SH,正和生态,环境保护,20260622,12.18,10.0271,143876.889,121107.8,5.7208,,257847.9204,0.64,,1.0,U,12.18,9.96,0.0,54728272.0,93651,93651.0,0.0,61.166667,61.166667,61.166667,0.69,0.0,61.166667,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.21014492753623187,0.9420289855072463,0.6304347826086957,0.8478260869565217,0.5036231884057971,0.5144927536231884,0.19202898550724637,1.0
002601.SZ,龙佰集团,化工原料,20260622,17.03,10.0129,1772898.47511,1059132.06,5.3287,,4060374.5143,1.99,,1.0,U,17.03,13.93,11.0,16517907.0,11:11:00,15:00:00,11.0,55.862319,55.862319,55.862319,0.735,3.527536,59.389855,1.0,ok,,20260622,intraday_refine_v2,002601.SZ,1,1.0,0.25,0,1.0,0.0,0.5,3.0,0.6,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.32608695652173914,0.35507246376811596,0.6666666666666666,0.2210144927536232,0.5036231884057971,0.8478260869565217,0.8659420289855072,1.0
002539.SZ,云图控股,农药化肥,20260622,12.6,10.0437,361188.36614,298459.71,3.3543,,1521731.862,1.59,,1.0,U,12.6,10.31,0.0,80064532.0,13:59:00,15:00:00,0.0,53.253623,53.253623,53.253623,0.825,5.849275,59.102898,1.0,ok,,20260622,intraday_refine_v2,002539.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.15942028985507245,0.7318840579710145,0.8115942028985508,0.3442028985507246,0.5036231884057971,0.3695652173913043,0.19202898550724637,1.0
601020.SH,华钰矿业,铅锌,20260622,26.87,9.9877,1838968.928,712032.16,8.6837,,2203245.1489,1.63,,1.0,U,26.87,21.99,6.0,13826227.0,142457,144818.0,6.0,59.065217,59.065217,59.065217,0.69,0.0,59.065217,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7898550724637681,0.34782608695652173,0.35507246376811596,0.322463768115942,0.5036231884057971,0.8768115942028986,0.7644927536231884,1.0
605305.SH,中际联合,工程机械,20260622,40.43,10.0136,384515.701,102334.26,4.8153,,859218.36,2.5,,1.0,U,40.43,33.08,0.0,14065030.0,143940,143940.0,0.0,58.884058,58.884058,58.884058,0.69,0.0,58.884058,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.3007246376811594,0.7246376811594203,0.7101449275362319,0.10144927536231885,0.5036231884057971,0.8695652173913043,0.19202898550724637,1.0
000048.SZ,京基智农,农业综合,20260622,20.75,10.0212,955548.03789,467370.6,8.8299,,1100170.81,1.0,,1.0,U,20.75,16.97,15.0,16286343.0,09:33:00,15:00:00,15.0,55.934783,55.934783,55.934783,0.705,2.913043,58.847826,1.0,ok,,20260622,intraday_refine_v2,000048.SZ,1,1.0,0.3,0,1.0,0.0,0.5,4.0,0.8,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.2318840579710145,0.5507246376811594,0.34782608695652173,0.6195652173913043,0.5036231884057971,0.855072463768116,0.9166666666666666,1.0
600162.SH,香江控股,全国地产,20260622,3.94,10.0559,963837.492,2514509.28,7.6933,,1287764.6114,0.71,26546888.72,1.0,U,3.94,3.22,10.0,22069196.0,09:49:00,15:00:00,10.0,54.42029,54.42029,54.42029,0.765,4.415942,58.836232,1.0,ok,,20260622,intraday_refine_v2,600162.SH,1,1.0,0.2,0,1.0,0.0,0.5,2.0,0.4,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.12681159420289856,0.5362318840579711,0.4057971014492754,0.8043478260869565,0.5036231884057971,0.7536231884057971,0.8442028985507246,1.0
