ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
300422.SZ,博世科,环境保护,20260424,5.56,20.0864,213182.897,387005.61,7.4901,,296837.4963,5.44,62944742.8,1.0,U,5.56,3.7,0.0,61138582.0,93124,93124,0.0,48.661017,48.661017,9,,A,0.01694915254237288,0.8135593220338984,0.5423728813559322,0.1016949152542373,0.5084745762711864,0.5423728813559322,0.2966101694915254,1.0
002192.SZ,融捷股份,小金属,20260424,86.28,9.9949,2477165.922,296814.38,11.4548,,2240305.0915,0.98,264431915.81,1.0,U,86.28,70.6,2.0,155752656.0,104712,130330,2.0,47.186441,47.186441,9,,A,0.7457627118644068,0.13559322033898305,0.3050847457627119,0.9152542372881356,0.5084745762711864,0.1016949152542373,0.7796610169491526,1.0
600338.SH,西藏珠峰,铅锌,20260424,22.57,9.9903,3953791.491,1823145.96,19.9423,,2063372.3492,2.22,370796601.52,1.0,U,22.57,18.47,10.0,42621188.0,104153,141347,10.0,47.152542,47.152542,9,,A,0.8135593220338984,0.05084745762711865,0.0847457627118644,0.4745762711864407,0.5084745762711864,0.6101694915254238,0.9152542372881356,1.0
600152.SH,维科技术,电气设备,20260424,12.96,10.017,922800.43,725659.45,13.7155,,685686.87,0.61,,1.0,U,12.96,10.6,1.0,94569120.0,93607,94001,1.0,46.033898,46.033898,9,,A,0.3728813559322034,0.3728813559322034,0.2033898305084746,0.9491525423728814,0.5084745762711864,0.3220338983050847,0.6610169491525424,1.0
001234.SZ,泰慕士,服饰,20260424,35.77,9.9938,451485.262,131296.6,14.3516,,391372.8049,2.68,,1.0,U,35.77,29.27,0.0,200365655.0,94645,94645,0.0,45.847458,45.847458,9,,A,0.7796610169491526,0.559322033898305,0.1864406779661017,0.3305084745762712,0.5084745762711864,0.05084745762711865,0.2966101694915254,1.0
688633.SH,星球石墨,专用机械,20260424,33.6,20.0,421678.889,131820.91,9.1689,,483066.6926,5.89,-30448591.21,1.0,U,33.6,22.4,0.0,33862113.0,101215,101215,0.0,45.745763,45.745763,9,,A,0.0847457627118644,0.5932203389830508,0.4406779661016949,0.06779661016949153,0.5084745762711864,0.711864406779661,0.2966101694915254,1.0
002240.SZ,盛新锂能,小金属,20260424,50.93,10.0,3174971.097,650044.73,7.1206,,4661591.6901,1.18,241388044.52,1.0,U,50.93,41.67,0.0,229427579.0,140145,140145,0.0,44.423729,44.423729,9,,A,0.6440677966101694,0.0847457627118644,0.576271186440678,0.7966101694915254,0.5084745762711864,0.03389830508474576,0.2966101694915254,1.0
002812.SZ,恩捷股份,电气设备,20260424,77.18,10.0057,4946335.564,659558.19,8.0174,,7580093.981,1.57,781911096.78,1.0,U,77.18,63.14,16.0,169518769.0,104021,132221,16.0,43.915254,43.915254,9,,A,0.5423728813559322,0.03389830508474576,0.5254237288135594,0.5932203389830508,0.5084745762711864,0.0847457627118644,0.9915254237288136,1.0
603390.SH,通达电气,汽车配件,20260424,14.6,10.0226,720009.816,510046.77,14.5514,,513411.8966,12.7,-16774907.0,1.0,U,14.6,11.94,0.0,32184240.0,102439,102439,0.0,43.20339,43.20339,9,,A,0.3220338983050847,0.4576271186440678,0.1694915254237288,0.01694915254237288,0.5084745762711864,0.7966101694915254,0.2966101694915254,1.0
688268.SH,华特气体,化工原料,20260424,176.8,20.0027,2674231.533,155334.75,12.9537,,2121535.9454,1.09,382811081.24,1.0,U,176.8,117.86,15.0,36165147.0,93552,140134,15.0,41.694915,41.694915,9,,A,0.06779661016949153,0.11864406779661017,0.22033898305084745,0.8983050847457628,0.5084745762711864,0.6440677966101694,0.9661016949152542,1.0
000889.SZ,中嘉博创,通信设备,20260424,4.79,10.1149,1146783.904,2455425.43,28.2283,,448483.4446,1.13,,1.0,U,4.79,3.92,3.0,65694466.0,101448,104236,3.0,40.355932,40.355932,9,,A,0.11864406779661017,0.3389830508474576,0.01694915254237288,0.8559322033898306,0.5084745762711864,0.5084745762711864,0.8389830508474576,1.0
600537.SH,亿晶光电,电气设备,20260424,3.72,10.0592,745196.4,2094617.58,17.6953,,440341.9867,1.23,81496697.47,1.0,U,3.72,3.04,0.0,67970352.0,141808,141808,0.0,40.322034,40.322034,9,,A,0.15254237288135594,0.4406779661016949,0.11864406779661017,0.7288135593220338,0.5084745762711864,0.4915254237288136,0.2966101694915254,1.0
001339.SZ,智微智能,IT设备,20260424,80.74,10.0,1536251.054,199892.07,16.0513,,2036994.3851,2.3,,1.0,U,80.74,66.06,0.0,100795816.0,133427,133427,0.0,39.881356,39.881356,9,,A,0.6440677966101694,0.2542372881355932,0.13559322033898305,0.4406779661016949,0.5084745762711864,0.23728813559322035,0.2966101694915254,1.0
002176.SZ,江特电机,小金属,20260424,13.62,10.0162,2357626.254,1795377.71,10.5238,,2324015.4413,1.15,,1.0,U,13.62,11.14,0.0,143231270.0,103609,103609,0.0,38.627119,38.627119,9,,A,0.3898305084745763,0.15254237288135594,0.3389830508474576,0.8305084745762712,0.5084745762711864,0.13559322033898305,0.2966101694915254,1.0
301077.SZ,星华新材,化工原料,20260424,38.59,19.9938,881374.485,242164.87,25.3835,,656334.6333,2.94,75547756.74,1.0,U,38.59,25.73,0.0,28363032.0,130000,130000,0.0,38.322034,38.322034,9,,A,0.1016949152542373,0.3898305084745763,0.03389830508474576,0.288135593220339,0.5084745762711864,0.847457627118644,0.2966101694915254,1.0
000973.SZ,佛塑科技,塑料,20260424,18.99,10.0232,1839550.896,1002583.72,10.3634,,4668191.6186,1.21,,1.0,U,18.99,15.53,0.0,143572945.0,132218,132218,0.0,37.711864,37.711864,9,,A,0.3050847457627119,0.2033898305084746,0.3559322033898305,0.7711864406779662,0.5084745762711864,0.11864406779661017,0.2966101694915254,1.0
002407.SZ,多氟多,化工原料,20260424,33.04,9.9867,6341989.122,1992115.1,18.4666,,3933189.208,1.91,719882240.26,1.0,U,33.04,27.04,0.0,313490954.0,140712,140712,0.0,36.254237,36.254237,9,,A,0.8813559322033898,0.01694915254237288,0.1016949152542373,0.5084745762711864,0.5084745762711864,0.01694915254237288,0.2966101694915254,1.0
300283.SZ,温州宏丰,电气设备,20260424,11.75,20.0204,827181.788,749137.76,20.4003,,583949.4109,2.19,70471409.63,1.0,U,11.75,7.83,0.0,72353797.0,101557,101557,0.0,34.220339,34.220339,9,,A,0.03389830508474576,0.4067796610169492,0.06779661016949153,0.4915254237288136,0.5084745762711864,0.4576271186440678,0.2966101694915254,1.0
300613.SZ,富瀚微,半导体,20260424,56.08,20.0086,1471516.664,262979.9,11.9754,,1305569.425,5.5,244234002.77,1.0,U,56.08,37.38,1.0,84963779.0,93151,111036,1.0,32.610169,32.610169,9,,A,0.05084745762711865,0.2711864406779661,0.23728813559322035,0.0847457627118644,0.5084745762711864,0.3728813559322034,0.6610169491525424,1.0
