ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
001207.SZ,联科科技,化工原料,20260311,U,31.27,31.27,25.59,2.0,44637049.0,95542,95903,44637049.0,9.9894,294176.501,96585.28,9.9283,9.9283,,677079.8039,1.57,,1,44637049.0,44637049.0,0.7169811320754716,0.9811320754716981,0.8113207547169812,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.05,0.0,77.981132
002445.SZ,中南文化,钢加工,20260311,U,3.71,3.71,3.03,0.0,451194024.0,92500,92500,451194024.0,10.089,30163.265,81302.6,0.546,0.546,,881721.394,0.09,,1,451194024.0,451194024.0,0.09433962264150944,1.0,1.0,1.0,0.5094339622641509,0.5094339622641509,0.05,0.0,74.962264
002455.SZ,百川股份,化工原料,20260311,U,14.73,14.73,12.05,0.0,246803285.0,93000,93000,246803285.0,10.0075,507555.359,345448.35,6.8528,6.8528,,875342.6541,0.36,,1,246803285.0,246803285.0,0.41509433962264153,0.8113207547169812,0.9245283018867925,0.9811320754716981,0.5094339622641509,0.5094339622641509,0.05,0.0,74.169811
600409.SH,三友化工,化纤,20260311,U,9.17,9.17,7.51,0.0,60622805.0,135132,135132,60622805.0,9.952,705698.696,806084.74,7.1669,7.1669,,1893008.4438,1.42,,1,60622805.0,60622805.0,0.9433962264150944,0.5849056603773585,0.9056603773584906,0.5660377358490566,0.5094339622641509,0.5094339622641509,0.05,0.0,74.09434
601330.SH,绿色动力,环境保护,20260311,U,8.37,8.37,6.85,2.0,68848012.0,100324,100957,68848012.0,9.9869,311298.692,381938.22,12.2911,12.2911,,1197399.1947,2.69,,1,68848012.0,68848012.0,0.7735849056603774,0.9622641509433962,0.6792452830188679,0.2830188679245283,0.5094339622641509,0.5094339622641509,0.05,0.0,74.056604
600433.SH,冠豪高新,造纸,20260311,U,3.85,3.85,3.15,1.0,27853595.0,93427,94909,27853595.0,10.0,336729.532,884198.35,8.4381,8.4381,,673857.5047,2.39,,1,27853595.0,27853595.0,0.5471698113207547,0.9433962264150944,0.8867924528301887,0.3018867924528302,0.5094339622641509,0.5094339622641509,0.05,0.0,73.792453
002150.SZ,正泰电源,机械基件,20260311,U,29.68,29.68,24.28,0.0,103938439.0,94848,94848,103938439.0,10.0074,442810.978,155032.15,8.4587,8.4587,,1071058.6073,0.82,,1,103938439.0,103938439.0,0.4339622641509434,0.8679245283018868,0.8679245283018868,0.839622641509434,0.5094339622641509,0.5094339622641509,0.05,0.0,73.716981
601858.SH,中国科传,出版业,20260311,U,21.67,21.67,17.73,0.0,47602489.0,102034,102034,47602489.0,10.0,360855.78,171784.52,11.8496,11.8496,,1713013.5,2.34,,1,47602489.0,47602489.0,0.5471698113207547,0.9056603773584906,0.6981132075471698,0.32075471698113206,0.5094339622641509,0.5094339622641509,0.05,0.0,69.188679
002831.SZ,裕同科技,广告包装,20260311,U,34.06,34.06,27.86,1.0,29121368.0,104227,111603,29121368.0,10.0129,536517.238,161068.37,4.5169,4.5169,,3135268.981,2.18,,1,29121368.0,29121368.0,0.37735849056603776,0.7735849056603774,0.9622641509433962,0.3584905660377358,0.5094339622641509,0.5094339622641509,0.05,0.0,68.283019
603938.SH,三孚股份,化工原料,20260311,U,30.12,30.12,24.64,0.0,111592672.0,95216,95216,111592672.0,10.0073,541354.776,185682.34,14.5052,14.5052,,1152464.985,0.77,,1,111592672.0,111592672.0,0.4528301886792453,0.7547169811320755,0.5849056603773585,0.9245283018867925,0.5094339622641509,0.5094339622641509,0.05,0.0,66.132075
002667.SZ,威领股份,小金属,20260311,U,33.01,33.01,27.01,0.0,149122675.0,93951,93951,149122675.0,9.9967,749773.578,230930.88,12.3871,12.3871,,860212.5415,0.7,,1,149122675.0,149122675.0,0.6226415094339622,0.5660377358490566,0.660377358490566,0.9433962264150944,0.5094339622641509,0.5094339622641509,0.05,0.0,65.943396
