ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
002017.SZ,20260126,4.8625,8.7202,0.74,1371560.601,
000525.SZ,20260126,3.2059,4.0756,0.69,759741.4294,
300351.SZ,20260126,5.9204,8.0768,1.12,728807.9157,
001331.SZ,20260126,7.9498,32.3075,0.9,1497565.44,
688327.SH,20260126,6.2492,6.2492,1.51,1700103.9272,
300139.SZ,20260126,29.7021,31.4782,1.28,1449460.0,
600171.SH,20260126,3.5437,4.7336,0.81,2330939.8203,
601579.SH,20260126,2.7541,6.6588,1.69,1028928.4757,
600476.SH,20260126,2.6826,4.4221,1.36,269631.18,
300492.SZ,20260126,4.2843,12.3307,1.91,1693227.2283,
600352.SH,20260126,1.7871,2.3847,0.6,4268371.4003,
688230.SH,20260126,1.3737,5.4947,0.92,925982.4,
600706.SH,20260126,5.3537,7.9958,0.88,282606.2418,
300260.SZ,20260126,7.8052,12.4801,0.78,2356307.4131,
301517.SZ,20260126,15.7074,25.5953,1.11,1066223.529,
301193.SZ,20260126,2.677,6.0805,1.07,458279.1767,
600528.SH,20260126,1.2457,2.8556,1.46,1906091.2625,
600903.SH,20260126,1.2867,3.7862,0.73,791206.4727,
301298.SZ,20260126,2.1886,2.7107,0.93,250294.0,
605056.SH,20260126,4.1478,14.3057,2.58,872670.3245,
001337.SZ,20260126,11.7993,20.4902,0.68,2320500.0,
300284.SZ,20260126,1.8822,3.4768,1.8,1001422.4248,
603677.SH,20260126,1.4215,5.4198,1.29,354192.9907,
002567.SZ,20260126,7.315,8.8366,3.81,646306.1782,
601618.SH,20260126,2.7011,7.495,2.11,6735176.2303,
002203.SZ,20260126,2.8183,4.6972,1.41,3529303.122,
300398.SZ,20260126,8.8008,11.136,0.91,1494470.8422,
301020.SZ,20260126,1.5928,4.9805,1.24,343308.0,
002331.SZ,20260126,11.7101,15.1572,1.62,449424.9047,
688318.SH,20260126,1.4685,4.7399,1.3,3632798.5908,
603869.SH,20260126,1.0012,2.7473,4.3,493128.3548,
000807.SZ,20260126,2.9394,5.077,1.55,11648868.9234,
603135.SH,20260126,9.7076,13.6917,2.03,729005.0966,
600438.SH,20260126,2.2453,4.1,0.99,8823900.5744,
603012.SH,20260126,10.4518,13.4421,1.62,516553.5,
002488.SZ,20260126,8.2765,11.6246,1.13,1261221.2954,
002345.SZ,20260126,5.3577,8.6246,2.01,1310556.2428,
300087.SZ,20260126,2.0911,3.6387,0.89,901859.827,
688620.SH,20260126,6.0493,6.0493,1.81,479024.0,
688683.SH,20260126,1.1675,2.612,0.99,583012.9382,
600283.SH,20260126,0.7313,1.7462,1.04,531662.0033,
600063.SH,20260126,4.0502,6.0664,1.23,1508378.6013,
002961.SZ,20260126,2.4891,8.5117,1.06,1167398.3891,
002670.SZ,20260126,1.7392,5.0348,1.44,3187084.4235,
920146.BJ,20260126,2.704,3.5577,1.07,120681.456,
688076.SH,20260126,1.3279,2.117,1.36,1198152.7415,
300519.SZ,20260126,3.1929,4.9486,1.59,262400.0,
300468.SZ,20260126,5.3476,6.7019,0.96,1762286.2423,
300123.SZ,20260126,15.9735,18.3769,1.71,752069.9145,
920924.BJ,20260126,8.9046,10.9445,3.17,270923.6625,
920299.BJ,20260126,20.3975,29.399,0.74,230589.6373,
300476.SZ,20260126,2.2137,3.2145,0.61,23107774.2602,
300416.SZ,20260126,11.3059,16.6629,0.98,1007433.2037,
600250.SH,20260126,5.3245,11.3333,0.96,361841.869,
605358.SH,20260126,5.9114,7.9167,0.93,2874166.6323,
603682.SH,20260126,3.9998,9.5234,0.7,327442.5,
605289.SH,20260126,3.0794,6.2081,1.38,738307.7975,
301518.SZ,20260126,10.8644,11.0378,0.78,641229.6221,
688298.SH,20260126,8.3143,16.1633,9.4,575366.4,
603505.SH,20260126,4.2239,9.3232,2.0,1811271.2856,
600573.SH,20260126,2.5129,5.0336,0.89,301750.0,
300249.SZ,20260126,7.3785,9.248,1.99,707864.2064,
000059.SZ,20260126,5.1502,9.7241,2.03,974060.505,
600830.SH,20260126,1.8949,2.7654,1.23,446144.9376,
688061.SH,20260126,3.1427,3.1427,1.04,422792.9589,
600868.SH,20260126,27.45,29.5601,1.37,983241.0157,
605168.SH,20260126,3.045,6.5518,0.87,927805.5554,
920971.BJ,20260126,7.7427,15.0373,1.06,373587.8471,
002202.SZ,20260126,17.1504,25.434,1.24,11999192.1175,
600052.SH,20260126,2.2787,3.7311,1.18,407746.0599,
601577.SH,20260126,0.4287,0.7339,1.06,3776238.975,
